397423,-0.03,0.00,1.02,0.29,-0.29,-0.09,0.13,1.68,142.11
397433,-0.03,-0.00,1.02,0.49,-0.30,-0.63,0.08,1.77,142.08
397443,-0.03,-0.00,1.02,0.76,-0.31,-0.88,0.01,1.69,142.05
397453,-0.03,0.00,1.02,0.84,-0.30,-1.25,0.13,1.74,142.03
397463,-0.03,0.00,1.02,0.68,-0.32,-1.12,0.12,1.84,142.02
397473,-0.03,0.00,1.02,0.62,-0.30,-0.98,0.02,1.78,142.02
397483,-0.03,0.00,1.02,0.75,-0.24,-0.91,0.13,1.85,142.01
397493,-0.04,0.00,1.02,0.71,-0.23,-0.81,0.18,1.95,142.01
397503,-0.04,0.00,1.02,0.80,-0.19,-0.76,0.08,1.95,142.00
397513,-0.04,0.00,1.02,0.85,-0.24,-0.83,0.05,2.06,141.99
397523,-0.04,0.00,1.02,0.72,-0.28,-0.97,0.00,2.16,141.97
397533,-0.04,-0.00,1.02,0.56,-0.25,-0.82,-0.10,2.11,141.97
397543,-0.03,-0.00,1.02,0.46,-0.29,-0.88,-0.04,2.00,141.96
397553,-0.04,-0.00,1.02,0.62,-0.26,-0.97,0.07,2.07,141.95
397563,-0.03,-0.00,1.02,0.60,-0.24,-0.95,0.03,1.96,141.94
397573,-0.03,0.00,1.01,0.32,-0.24,-0.43,0.14,1.97,141.96
397583,-0.03,0.00,1.02,0.38,-0.22,-0.40,0.25,2.02,141.96
397593,-0.03,0.00,1.01,0.14,-0.22,-0.05,0.26,1.91,141.97
397603,-0.03,0.00,1.01,0.26,-0.20,-0.45,0.16,1.87,141.95
397613,-0.03,0.00,1.01,0.44,-0.26,-0.11,0.29,1.87,141.96
397623,-0.03,0.00,1.01,0.44,-0.28,-0.05,0.28,1.76,141.97
397633,-0.03,0.00,1.01,0.41,-0.31,0.03,0.19,1.81,141.97
397643,-0.03,0.00,1.01,0.45,-0.42,0.09,0.08,1.78,141.97
397653,-0.03,0.00,1.02,0.50,-0.38,-0.26,-0.02,1.76,141.95
397663,-0.03,0.00,1.01,0.70,-0.37,-0.76,0.10,1.73,141.92
397673,-0.03,0.00,1.02,0.27,-0.32,-0.05,0.14,1.63,141.95
397683,-0.03,0.01,1.02,0.39,-0.33,-0.23,0.23,1.70,141.94
397693,-0.03,0.01,1.02,0.74,-0.24,-0.61,0.35,1.76,141.93
397703,-0.03,0.01,1.02,0.63,-0.20,-0.59,0.30,1.86,141.92
397713,-0.03,0.00,1.02,0.62,-0.31,-0.57,0.19,1.84,141.91
397723,-0.03,0.00,1.02,0.68,-0.21,-0.93,0.30,1.80,141.89
397733,-0.03,0.00,1.02,1.00,-0.23,-1.28,0.26,1.89,141.86
397743,-0.03,0.01,1.02,0.69,-0.27,-1.04,0.37,1.89,141.86
397753,-0.04,0.00,1.02,0.61,-0.25,-0.79,0.29,1.97,141.86
397763,-0.03,0.00,1.02,0.44,-0.27,-0.52,0.23,1.87,141.87
397773,-0.03,0.00,1.02,0.44,-0.26,-0.47,0.12,1.84,141.86
397783,-0.04,0.00,1.02,0.42,-0.25,-0.28,0.06,1.94,141.86
397793,-0.04,-0.00,1.02,0.42,-0.31,-0.43,-0.03,1.99,141.85
397803,-0.04,-0.00,1.02,0.44,-0.31,-0.25,-0.03,2.11,141.85
397813,-0.04,-0.00,1.02,0.46,-0.35,-0.33,0.06,2.02,141.85
397823,-0.03,0.00,1.02,0.68,-0.34,-0.61,0.15,1.93,141.84
397833,-0.03,0.01,1.01,0.57,-0.38,-0.45,0.20,1.82,141.84
397843,-0.02,0.01,1.01,0.35,-0.33,-0.09,0.28,1.74,141.86
397853,-0.02,0.01,1.01,0.22,-0.25,0.03,0.35,1.65,141.86
397863,-0.02,0.01,1.01,0.25,-0.19,0.20,0.34,1.77,141.87
397873,-0.03,0.01,1.01,0.05,-0.10,0.25,0.32,1.66,141.88
397883,-0.03,0.01,1.01,0.21,-0.11,0.05,0.28,1.76,141.87
397893,-0.03,0.00,1.01,-0.20,-0.16,0.31,0.19,1.85,141.88
397903,-0.04,-0.00,1.02,-0.28,-0.15,0.31,0.10,1.92,141.88
397913,-0.03,-0.00,1.02,-0.20,-0.18,0.30,0.05,1.82,141.88
397923,-0.03,-0.00,1.02,-0.13,-0.15,0.11,0.02,1.71,141.87
397933,-0.03,-0.00,1.02,0.08,-0.21,-0.31,0.07,1.59,141.85
397943,-0.03,-0.00,1.02,-0.25,-0.29,0.02,-0.00,1.49,141.86
397953,-0.03,0.00,1.01,-0.43,-0.26,0.31,0.09,1.44,141.88
397963,-0.03,0.00,1.02,-0.35,-0.27,0.23,0.11,1.55,141.88
397973,-0.03,0.00,1.02,-0.41,-0.25,0.27,0.15,1.65,141.89
397983,-0.04,0.00,1.02,-0.39,-0.30,0.30,0.10,1.75,141.89
397993,-0.04,-0.00,1.02,-0.59,-0.26,0.35,0.01,1.84,141.89
398003,-0.04,0.00,1.02,-0.50,-0.25,0.15,0.08,1.92,141.89
398013,-0.04,-0.00,1.02,-0.27,-0.28,-0.05,-0.02,1.97,141.88
398023,-0.04,0.00,1.02,-0.01,-0.31,-0.60,0.09,2.02,141.85
398033,-0.04,0.00,1.02,0.25,-0.40,-0.74,0.17,1.92,141.84
398043,-0.04,0.00,1.02,-0.02,-0.39,-0.18,0.27,1.89,141.87
398053,-0.03,0.00,1.02,0.26,-0.36,-0.64,0.28,1.77,141.84
398063,-0.03,0.01,1.02,0.56,-0.37,-1.21,0.41,1.77,141.81
398073,-0.03,0.01,1.01,0.79,-0.32,-1.50,0.40,1.88,141.78
398083,-0.03,0.01,1.01,0.63,-0.31,-1.04,0.30,1.93,141.79
398093,-0.03,0.00,1.01,0.50,-0.32,-0.82,0.22,2.01,141.78
398103,-0.03,-0.00,1.01,0.18,-0.35,-0.48,0.10,2.01,141.79
398113,-0.04,-0.00,1.02,0.01,-0.39,-0.20,-0.03,2.00,141.79
398123,-0.03,-0.00,1.02,0.23,-0.38,-0.27,0.04,1.90,141.79
