145578,-0.02,0.01,1.00,-0.18,-0.55,1.65
145588,-0.02,0.01,1.00,0.67,0.67,-1.59
145598,-0.03,0.01,1.00,0.55,-0.73,-0.37
145608,-0.03,0.00,1.00,-0.49,0.43,-1.22
145618,-0.03,0.00,1.01,0.55,0.49,-0.37
145628,-0.04,0.00,1.00,0.31,-0.37,-1.59
145638,-0.02,0.01,1.01,1.59,-0.31,-2.50
145648,-0.03,0.01,1.01,-0.67,0.12,1.10
145658,-0.02,0.01,1.00,0.24,-0.43,-0.85
145668,-0.02,0.01,1.00,-0.92,-1.10,1.16
145678,-0.03,0.01,1.01,-0.79,0.12,2.01
145688,-0.02,0.01,1.00,-1.04,0.31,2.08
145698,-0.03,0.01,1.00,-0.12,-0.67,-0.12
145708,-0.02,0.02,1.00,-0.61,-0.12,0.67
145718,-0.02,0.01,1.00,-0.79,-0.61,1.53
145728,-0.03,0.00,1.01,-0.55,-0.31,-0.12
145738,-0.03,0.01,1.00,0.12,-1.04,0.98
145748,-0.02,0.00,1.00,-0.24,-0.37,-0.85
145758,-0.02,0.01,1.00,-0.31,-0.12,0.79
145768,-0.03,0.01,1.01,-0.06,0.37,-0.37
145778,-0.02,0.01,1.01,-0.24,0.31,0.24
145788,-0.03,0.01,1.01,-0.98,-0.06,0.61
145798,-0.02,0.01,1.01,0.31,0.06,-1.10
145808,-0.03,0.01,1.00,0.12,-0.18,-0.73
145818,-0.03,0.02,1.01,1.28,0.18,-1.53
145828,-0.02,0.01,1.00,-0.79,-1.10,2.38
145838,-0.02,0.01,1.01,-0.61,-0.55,0.73
145848,-0.02,0.01,1.01,-0.79,-0.31,1.04
145858,-0.02,0.02,1.01,0.49,-0.06,0.12
145868,-0.03,0.01,1.01,0.43,-0.67,0.06
145878,-0.03,0.01,1.01,-0.31,-0.12,0.98
145888,-0.03,0.01,1.00,0.06,-0.37,0.92
145898,-0.03,0.01,1.01,-1.40,-0.12,2.62
145908,-0.03,0.01,1.00,0.06,-0.24,-0.24
145918,-0.02,0.01,1.01,-0.43,-0.06,1.53
145928,-0.02,0.01,1.01,-0.24,-0.43,-1.16
145938,-0.03,0.01,1.01,0.18,-0.79,0.49
145948,-0.02,0.00,1.01,0.43,-0.31,-1.65
145958,-0.02,0.01,1.00,0.00,-0.24,-0.73
145968,-0.03,0.01,1.00,0.98,-0.31,-2.14
145978,-0.02,0.01,1.00,1.22,0.55,-2.20
145988,-0.02,0.01,1.01,0.85,-0.73,-0.67
145998,-0.03,0.01,1.00,-0.61,0.24,-1.65
146008,-0.03,0.01,1.00,-0.67,0.06,1.28
146018,-0.03,0.01,1.01,0.92,0.18,-1.89
146028,-0.02,0.01,1.00,-0.18,-0.49,0.43
146038,-0.03,0.01,1.01,-0.43,-0.49,0.98
146048,-0.03,0.01,1.00,-1.22,-0.06,2.20
146058,-0.03,-0.00,1.01,-1.22,-0.67,1.16
146068,-0.03,0.01,1.01,-1.28,0.12,1.34
146078,-0.03,0.01,1.01,-0.24,-0.43,-0.12
146088,-0.03,0.01,1.01,-0.12,-0.24,-0.18
146098,-0.02,-0.00,1.00,-0.67,0.37,0.79
146108,-0.03,0.01,1.01,-0.79,-0.06,0.24
146118,-0.02,0.01,1.00,0.49,-0.55,0.37
146128,-0.02,0.00,1.01,-0.55,-0.06,-1.22
146138,-0.02,0.02,1.00,0.06,0.37,0.06
146148,-0.02,0.01,1.00,0.37,-0.12,-2.32
146158,-0.03,0.02,1.01,0.06,-0.61,-0.73
146168,-0.02,0.01,1.01,2.32,0.06,-3.91
146178,-0.02,0.01,1.00,0.98,0.00,-1.16
146188,-0.02,0.01,0.99,1.71,-0.31,-2.75
146198,-0.03,0.01,1.00,1.34,0.12,-2.20
146208,-0.03,0.01,1.01,0.12,-0.67,1.16
146218,-0.03,0.00,1.00,1.46,-0.12,-1.59
146228,-0.02,0.01,1.01,-1.46,-0.92,0.92
146238,-0.02,0.01,1.01,0.79,-0.55,-1.65
146248,-0.03,0.01,1.01,-0.61,0.12,2.32
146258,-0.03,0.01,1.00,-0.92,0.00,1.65
146268,-0.03,0.02,1.01,0.24,-0.55,-0.06
146278,-0.02,0.01,1.00,-1.10,-0.24,1.59
146288,-0.02,0.01,1.00,-0.37,0.43,-0.24
146298,-0.03,0.01,1.01,-1.34,0.18,0.43
146308,-0.03,0.01,1.00,2.08,-0.06,-2.69
146318,-0.03,0.01,1.00,0.55,-0.31,0.43
146328,-0.03,0.01,1.01,0.31,0.24,-0.67
146338,-0.03,0.01,1.00,1.65,-0.06,-3.54
